woo_product_id,shopify_handle,title,status,vendor,product_type,tags,sku,price,compare_at_price,collection_handles,image_count,variant_count,legacy_woo_id_metafield,seo_title_source,seo_description_source
17,vee-beauty-second-skin-foundation,Vee Beauty Second Skin Foundation,active,Vee Beauty,Foundation,"Face, Foundation",,20.0,,face|vee-beauty,3,9,17,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
18,vee-beauty-total-coverage-foundation,Vee Beauty Total Coverage Foundation,active,Vee Beauty,Foundation,"Face, Foundation, Makeup",,15.0,,face|vee-beauty,3,10,18,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
19,vee-beauty-thirsty-lip-gloss,Vee Beauty Thirsty Lip Gloss,draft,Vee Beauty,Lip Gloss,"Lips, Lip Gloss, Makeup",,5.0,,lips|vee-beauty,2,3,19,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
20,vee-beauty-magic-cover-concealer-2,Vee Beauty Magic Cover Concealer,draft,Vee Beauty,Concealer,"Face, Concealer, Makeup",,10.0,,face|vee-beauty,2,6,20,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
22,tehila-rosy-cheek-blush-palatte,Tehila Rosy Cheek Blush Palette,active,Tehila,Blushes,"Face, Blushes, Makeup",,20.0,,face|tehila,1,2,22,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
23,tehila-blush-highlighter-palatte,Tehila Blush/Highlighter Palatte,active,Tehila,Highlight &amp; Contour,"Face, Highlight &amp; Contour, Makeup",,10.0,,face|tehila,1,2,23,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
24,tehila-single-compact-blush,Tehila Single Compact Blush,active,Tehila,Blushes,"Face, Blushes, Makeup",463-1-item,5.0,,face|tehila,2,1,24,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
25,sylvimak-oil-free-foundation,Sylvimak Oil-Free Foundation,active,Sylvimak,Foundation,"Face, Foundation, Makeup",,18.0,,face|sylvimak,2,8,25,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
28,tm-essential-bronzed-by-tm,Tm Essential Bronzed By Tm,active,TM Essentials,Bronzers &amp; Highlighters,"Face, Bronzers &amp; Highlighters, Makeup",,10.0,,face|tm-essential,1,4,28,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
34,beauty-by-ad-lip-gloss,Beauty By Ad Lip Gloss,active,Beauty by AD,Lip Gloss,"Lips, Lip Gloss, Makeup",,10.0,,lips|beauty-by-ad,1,3,34,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
35,beauty-by-ad-lip-stain,Beauty By Ad Lip Stain,active,Beauty by AD,Lipstain,"Lips, Lipstain, Makeup",,10.0,,lips|beauty-by-ad,1,3,35,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
49,merak-cosmetics-setting-powder,Merak Cosmetics Setting Powder,active,Merak,Powder,"Face, Makeup, Powder",,25.0,,face|merak,1,4,49,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
50,merak-cosmetics-pencil-liner,Merak Cosmetics Pencil Liner,active,Merak,Eyeliner,"Eyes, Eyeliner, Makeup",,10.0,,eyes|merak,1,3,50,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
51,yanga-beauty-blurfect-loose-powder,Yanga Beauty Blurfect Loose Powder,active,Yanga Beauty,Powder,"Face, Makeup, Powder, Setting powder",,15.99,,face|yanga-beauty,1,3,51,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
52,yanga-beauty-smooth-match-concealer,Yanga Beauty Smooth Match Concealer,active,Yanga Beauty,Concealer,"Face, Concealer, Makeup",,10.0,,face|yanga-beauty,1,6,52,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
53,nuban-beauty-oil-control-setting-powder,Nuban Beauty Oil Control Setting Powder,active,Nuban,Powder,"Face, Makeup, Powder",,15.99,,face|nuban,1,4,53,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
54,nuban-beauty-finishing-powder,Nuban Beauty Finishing Powder,draft,Nuban,Powder,"Face, Makeup, Powder, Setting &amp; Finishing Spray",,16.0,,face|nuban,1,10,54,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
55,nuban-beauty-d-glow-loose-highlighter,Nuban Beauty D' Glow Loose Highlighter,active,Nuban,Bronzers &amp; Highlighters,"Face, Bronzers &amp; Highlighters, Makeup",,15.0,,face|nuban,1,2,55,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
60,nuban-beauty-in-my-skin-concealer,Nuban Beauty In My Skin Concealer,active,Nuban,Concealer,"Face, Concealer, Makeup",,10.0,,face|nuban,1,12,60,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
61,nuban-beauty-in-my-skin-foundation-2,Nuban Beauty In My Skin Foundation,draft,,Foundation,"Face, Foundation, Makeup",,20.0,,face,1,8,61,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
62,hegai-esther-eyebrow-definer,Hegai & Esther Eyebrow Definer,active,Hegai &amp; Esther,Eyebrow Products,"Eyes, Eyebrow Products, Makeup",,10.0,,eyes|hegai-esther,1,3,62,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
63,hegai-esther-lip-gloss,Hegai & Esther Lip Gloss,draft,Hegai &amp; Esther,Lip Gloss,"Lips, Lip Gloss, Makeup",,10.0,,lips|hegai-esther,1,4,63,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
65,hegai-esther-matte-liquid-lipstick,Hegai & Esther Matte Liquid Lipstick,draft,Hegai &amp; Esther,Lipstick,"Lips, Lipstick, Makeup",,10.0,,lips|hegai-esther,1,5,65,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
66,msmetics-glazed-balm,Msmetics Glazed Dewy Balm,active,Msmetics,Blushes,"Face, Blushes, Makeup",,12.99,,face|msmetics,1,6,66,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
67,msmetics-sealowatt,Msmetics Sealowatt,draft,Msmetics,Setting &amp; Finishing Spray,"Face, Makeup, Setting &amp; Finishing Spray",,10.0,,face|msmetics,1,2,67,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
68,msmetics-power-seal-sweat-and-oil,Msmetics Power Seal Sweat And Oil,active,Msmetics,Primers,"Face, Primers",,18.0,,face|msmetics,1,2,68,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
69,msmetics-14in1-lash-set,Msmetics 14In1 Lash Set,active,Msmetics,Eyelash Extensions &amp; Glue,"Eyes, Eyelash Extensions &amp; Glue, Makeup",,35.0,,eyes|msmetics,1,11,69,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
