woocommerce_source,shopify_target,target_type,notes
wp_wc_customer_lookup.email,email,customer field,Primary identifier and dedup/match key
wp_wc_customer_lookup.first_name / billing_first_name,firstName,customer field,"customer_lookup wins, usermeta fallback"
wp_wc_customer_lookup.last_name / billing_last_name,lastName,customer field,"customer_lookup wins, usermeta fallback"
billing_phone / order billing phone (guest fallback),phone,customer field,Must be unique in Shopify if set - see quarantine rule for phone conflicts
"billing_address_1/2, billing_city, billing_state, billing_postcode, billing_country","customerAddressCreate(customerId, address: MailingAddressInput!, setAsDefault)",address,"CORRECTED 2026-08-19: previously claimed CustomerInput has an addresses input. It does not - verified by live introspection of API 2026-07. Addresses require a SEPARATE second mutation per address, and the type is MailingAddressInput, not CustomerAddressInput"
"shipping_address_1/2, shipping_city, shipping_state, shipping_postcode, shipping_country",NOT CURRENTLY MAPPED,unmapped,"Captured in raw usermeta by database_parser.py but never surfaced. A second customerAddressCreate call could carry it. Shopify has NO billing/shipping distinction on customer addresses - both land in one list, only setAsDefault separates them. 16 customers have shipping but no billing address"
user_id (is registered vs guest),"tags: ""imported-from-woocommerce"", ""registered""/""guest""",tag,Already the pattern used in the pre-built CSV
username,NOT MAPPED,excluded,Shopify customer accounts are email-based; no username field exists
customer_id (WooCommerce),metafield custom.legacy_woo_customer_id,metafield,"Proposed idempotency key, mirroring the product custom.legacy_woo_id pattern - not yet implemented"
date_registered,metafield custom.woo_registered_at (proposed),metafield,"Informational only. Customer.createdAt is server-set and read-only, so a metafield is the ONLY possible destination"
"WooCommerce customer_note (order-level, not customer-level)",NOT MAPPED,excluded,"customer_note in WooCommerce is per-order, not per-customer profile - no customer-level note field exists in the source data read by this pipeline"
billing_company,MailingAddressInput.company (address level),address,CORRECTED 2026-08-19: CustomerInput has no company field. A customer with no address cannot carry a company at all
billing_country,"countryCode (CountryCode enum, 245 values)",address,"Enum, not free text. MailingAddressInput has no country field. 16 IMPORT customers have an address with no country"
billing_state,provinceCode - OMITTED for GB,address,"MailingAddressInput has no free-text province. 2,483 GB customers carry a county name, which is not a province code"
wp_capabilities (role),exclusion filter only (STAFF_ROLES),deliberately excluded,Staff/admin accounts are never imported as customers
wp_fc_subscribers.status (FluentCRM),"emailMarketingConsent.marketingState (proposed, NOT YET APPROVED)",consent field,"Real signal exists for 6,545 of 12,096 customers - see docs/PHASE10_GDPR_CONSENT.md; not applied without explicit business/legal sign-off"
"No consent signal at all (5,551 of 12,096)",emailMarketingConsent omitted entirely (defaults to NOT_SUBSCRIBED),consent field,Unknown consent is never treated as consent
WooCommerce password hash,NOT MAPPED - technically impossible,unsupported,"This store uses NEW_CUSTOMER_ACCOUNTS (passwordless) - CustomerInput has no password field at all, verified via live schema introspection"
